hp_id,phrase,organ_system,lineage,definition,alt_ids,snomedct,umls
HP:0000006,Autosomal Dominant Type,Other,All (HP:0000001) -> Mode of inheritance (HP:0000005) -> Mendelian inheritance (HP:0034345) -> Autosomal dominant inheritance (HP:0000006),"A mode of inheritance that is observed for traits related to a gene encoded on one of the autosomes (i.e., the human chromosomes 1-22) in which a trait manifests in heterozygotes. In the context of medical genetics, an autosomal dominant disorder is caused when a single copy of the mutant allele is present. Males and females are affected equally, and can both transmit the disorder with a risk of 50% for each child of inheriting the mutant allele.",HP:0001415;HP:0001447;HP:0001448;HP:0001451;HP:0001452;HP:0001455;HP:0001456;HP:0001463,SNOMEDCT_US:263681008,UMLS:C0443147
HP:0000006,Autosomal Dominant,Other,All (HP:0000001) -> Mode of inheritance (HP:0000005) -> Mendelian inheritance (HP:0034345) -> Autosomal dominant inheritance (HP:0000006),"A mode of inheritance that is observed for traits related to a gene encoded on one of the autosomes (i.e., the human chromosomes 1-22) in which a trait manifests in heterozygotes. In the context of medical genetics, an autosomal dominant disorder is caused when a single copy of the mutant allele is present. Males and females are affected equally, and can both transmit the disorder with a risk of 50% for each child of inheriting the mutant allele.",HP:0001415;HP:0001447;HP:0001448;HP:0001451;HP:0001452;HP:0001455;HP:0001456;HP:0001463,SNOMEDCT_US:263681008,UMLS:C0443147
HP:0000006,Autosomal Dominant Form,Other,All (HP:0000001) -> Mode of inheritance (HP:0000005) -> Mendelian inheritance (HP:0034345) -> Autosomal dominant inheritance (HP:0000006),"A mode of inheritance that is observed for traits related to a gene encoded on one of the autosomes (i.e., the human chromosomes 1-22) in which a trait manifests in heterozygotes. In the context of medical genetics, an autosomal dominant disorder is caused when a single copy of the mutant allele is present. Males and females are affected equally, and can both transmit the disorder with a risk of 50% for each child of inheriting the mutant allele.",HP:0001415;HP:0001447;HP:0001448;HP:0001451;HP:0001452;HP:0001455;HP:0001456;HP:0001463,SNOMEDCT_US:263681008,UMLS:C0443147
HP:0000006,Monoallelic_Autosomal,Other,All (HP:0000001) -> Mode of inheritance (HP:0000005) -> Mendelian inheritance (HP:0034345) -> Autosomal dominant inheritance (HP:0000006),"A mode of inheritance that is observed for traits related to a gene encoded on one of the autosomes (i.e., the human chromosomes 1-22) in which a trait manifests in heterozygotes. In the context of medical genetics, an autosomal dominant disorder is caused when a single copy of the mutant allele is present. Males and females are affected equally, and can both transmit the disorder with a risk of 50% for each child of inheriting the mutant allele.",HP:0001415;HP:0001447;HP:0001448;HP:0001451;HP:0001452;HP:0001455;HP:0001456;HP:0001463,SNOMEDCT_US:263681008,UMLS:C0443147
HP:0000007,Autosomal Recessive Inheritance,Other,All (HP:0000001) -> Mode of inheritance (HP:0000005) -> Mendelian inheritance (HP:0034345) -> Autosomal recessive inheritance (HP:0000007),"A mode of inheritance that is observed for traits related to a gene encoded on one of the autosomes (i.e., the human chromosomes 1-22) in which a trait manifests in individuals with two pathogenic alleles, either homozygotes (two copies of the same mutant allele) or compound heterozygotes (whereby each copy of a gene has a distinct mutant allele).",HP:0001416;HP:0001526;HP:0031362,SNOMEDCT_US:258211005,UMLS:C0441748;UMLS:C4020899
HP:0000007,Autosomal Recessive Predisposition,Other,All (HP:0000001) -> Mode of inheritance (HP:0000005) -> Mendelian inheritance (HP:0034345) -> Autosomal recessive inheritance (HP:0000007),"A mode of inheritance that is observed for traits related to a gene encoded on one of the autosomes (i.e., the human chromosomes 1-22) in which a trait manifests in individuals with two pathogenic alleles, either homozygotes (two copies of the same mutant allele) or compound heterozygotes (whereby each copy of a gene has a distinct mutant allele).",HP:0001416;HP:0001526;HP:0031362,SNOMEDCT_US:258211005,UMLS:C0441748;UMLS:C4020899
HP:0000007,Biallelic_Autosomal,Other,All (HP:0000001) -> Mode of inheritance (HP:0000005) -> Mendelian inheritance (HP:0034345) -> Autosomal recessive inheritance (HP:0000007),"A mode of inheritance that is observed for traits related to a gene encoded on one of the autosomes (i.e., the human chromosomes 1-22) in which a trait manifests in individuals with two pathogenic alleles, either homozygotes (two copies of the same mutant allele) or compound heterozygotes (whereby each copy of a gene has a distinct mutant allele).",HP:0001416;HP:0001526;HP:0031362,SNOMEDCT_US:258211005,UMLS:C0441748;UMLS:C4020899
HP:0000007,Autosomal Recessive Form,Other,All (HP:0000001) -> Mode of inheritance (HP:0000005) -> Mendelian inheritance (HP:0034345) -> Autosomal recessive inheritance (HP:0000007),"A mode of inheritance that is observed for traits related to a gene encoded on one of the autosomes (i.e., the human chromosomes 1-22) in which a trait manifests in individuals with two pathogenic alleles, either homozygotes (two copies of the same mutant allele) or compound heterozygotes (whereby each copy of a gene has a distinct mutant allele).",HP:0001416;HP:0001526;HP:0031362,SNOMEDCT_US:258211005,UMLS:C0441748;UMLS:C4020899
HP:0000007,Autosomal Recessive,Other,All (HP:0000001) -> Mode of inheritance (HP:0000005) -> Mendelian inheritance (HP:0034345) -> Autosomal recessive inheritance (HP:0000007),"A mode of inheritance that is observed for traits related to a gene encoded on one of the autosomes (i.e., the human chromosomes 1-22) in which a trait manifests in individuals with two pathogenic alleles, either homozygotes (two copies of the same mutant allele) or compound heterozygotes (whereby each copy of a gene has a distinct mutant allele).",HP:0001416;HP:0001526;HP:0031362,SNOMEDCT_US:258211005,UMLS:C0441748;UMLS:C4020899
HP:0000008,Abnormal Morphology Of Female Internal Genitalia,Abnormality Of The Genitourinary System,All (HP:0000001) -> Phenotypic abnormality (HP:0000118) -> Abnormality of the genitourinary system (HP:0000119) -> Abnormality of the genital system (HP:0000078) -> Abnormal reproductive system morphology (HP:0012243) -> Abnormal internal genitalia (HP:0000812) -> Abnormal morphology of female internal genitalia (HP:0000008),An abnormality of the female internal genitalia.,,,UMLS:C4025900
HP:0000008,Abnormality Of Female Internal Genitalia,Abnormality Of The Genitourinary System,All (HP:0000001) -> Phenotypic abnormality (HP:0000118) -> Abnormality of the genitourinary system (HP:0000119) -> Abnormality of the genital system (HP:0000078) -> Abnormal reproductive system morphology (HP:0012243) -> Abnormal internal genitalia (HP:0000812) -> Abnormal morphology of female internal genitalia (HP:0000008),An abnormality of the female internal genitalia.,,,UMLS:C4025900
HP:0000008,Abnormal Morphology Of Female Internal Genitalia,Abnormality Of The Genitourinary System,All (HP:0000001) -> Phenotypic abnormality (HP:0000118) -> Abnormality of the genitourinary system (HP:0000119) -> Abnormality of the genital system (HP:0000078) -> Abnormal reproductive system morphology (HP:0012243) -> Abnormality of the female genitalia (HP:0010460) -> Abnormal morphology of female internal genitalia (HP:0000008),An abnormality of the female internal genitalia.,,,UMLS:C4025900
HP:0000008,Abnormality Of Female Internal Genitalia,Abnormality Of The Genitourinary System,All (HP:0000001) -> Phenotypic abnormality (HP:0000118) -> Abnormality of the genitourinary system (HP:0000119) -> Abnormality of the genital system (HP:0000078) -> Abnormal reproductive system morphology (HP:0012243) -> Abnormality of the female genitalia (HP:0010460) -> Abnormal morphology of female internal genitalia (HP:0000008),An abnormality of the female internal genitalia.,,,UMLS:C4025900
HP:0000009,Functional Abnormality Of The Bladder,Abnormality Of The Genitourinary System,All (HP:0000001) -> Phenotypic abnormality (HP:0000118) -> Abnormality of the genitourinary system (HP:0000119) -> Abnormality of the urinary system (HP:0000079) -> Abnormality of the lower urinary tract (HP:0010936) -> Abnormality of the bladder (HP:0000014) -> Functional abnormality of the bladder (HP:0000009),Dysfunction of the urinary bladder.,HP:0004424;HP:0008731,,UMLS:C3806583
HP:0000009,Poor Bladder Function,Abnormality Of The Genitourinary System,All (HP:0000001) -> Phenotypic abnormality (HP:0000118) -> Abnormality of the genitourinary system (HP:0000119) -> Abnormality of the urinary system (HP:0000079) -> Abnormality of the lower urinary tract (HP:0010936) -> Abnormality of the bladder (HP:0000014) -> Functional abnormality of the bladder (HP:0000009),Dysfunction of the urinary bladder.,HP:0004424;HP:0008731,,UMLS:C3806583
HP:0000010,Recurrent Urinary Tract Infections,Abnormality Of The Immune System,All (HP:0000001) -> Phenotypic abnormality (HP:0000118) -> Abnormality of the immune system (HP:0002715) -> Abnormality of immune system physiology (HP:0010978) -> Unusual infection (HP:0032101) -> Recurrent infections (HP:0002719) -> Recurrent urinary tract infections (HP:0000010),Repeated infections of the urinary tract.,HP:0000094,SNOMEDCT_US:197927001,UMLS:C0262655
HP:0000010,Urinary Tract Infections,Abnormality Of The Immune System,All (HP:0000001) -> Phenotypic abnormality (HP:0000118) -> Abnormality of the immune system (HP:0002715) -> Abnormality of immune system physiology (HP:0010978) -> Unusual infection (HP:0032101) -> Recurrent infections (HP:0002719) -> Recurrent urinary tract infections (HP:0000010),Repeated infections of the urinary tract.,HP:0000094,SNOMEDCT_US:197927001,UMLS:C0262655
HP:0000010,Repeated Urinary Tract Infections,Abnormality Of The Immune System,All (HP:0000001) -> Phenotypic abnormality (HP:0000118) -> Abnormality of the immune system (HP:0002715) -> Abnormality of immune system physiology (HP:0010978) -> Unusual infection (HP:0032101) -> Recurrent infections (HP:0002719) -> Recurrent urinary tract infections (HP:0000010),Repeated infections of the urinary tract.,HP:0000094,SNOMEDCT_US:197927001,UMLS:C0262655
HP:0000010,Repeated Bladder Infections,Abnormality Of The Immune System,All (HP:0000001) -> Phenotypic abnormality (HP:0000118) -> Abnormality of the immune system (HP:0002715) -> Abnormality of immune system physiology (HP:0010978) -> Unusual infection (HP:0032101) -> Recurrent infections (HP:0002719) -> Recurrent urinary tract infections (HP:0000010),Repeated infections of the urinary tract.,HP:0000094,SNOMEDCT_US:197927001,UMLS:C0262655
HP:0000010,Recurrent Utis,Abnormality Of The Immune System,All (HP:0000001) -> Phenotypic abnormality (HP:0000118) -> Abnormality of the immune system (HP:0002715) -> Abnormality of immune system physiology (HP:0010978) -> Unusual infection (HP:0032101) -> Recurrent infections (HP:0002719) -> Recurrent urinary tract infections (HP:0000010),Repeated infections of the urinary tract.,HP:0000094,SNOMEDCT_US:197927001,UMLS:C0262655
HP:0000010,"Urinary Tract Infections, Recurrent",Abnormality Of The Immune System,All (HP:0000001) -> Phenotypic abnormality (HP:0000118) -> Abnormality of the immune system (HP:0002715) -> Abnormality of immune system physiology (HP:0010978) -> Unusual infection (HP:0032101) -> Recurrent infections (HP:0002719) -> Recurrent urinary tract infections (HP:0000010),Repeated infections of the urinary tract.,HP:0000094,SNOMEDCT_US:197927001,UMLS:C0262655
HP:0000010,Frequent Urinary Tract Infections,Abnormality Of The Immune System,All (HP:0000001) -> Phenotypic abnormality (HP:0000118) -> Abnormality of the immune system (HP:0002715) -> Abnormality of immune system physiology (HP:0010978) -> Unusual infection (HP:0032101) -> Recurrent infections (HP:0002719) -> Recurrent urinary tract infections (HP:0000010),Repeated infections of the urinary tract.,HP:0000094,SNOMEDCT_US:197927001,UMLS:C0262655
HP:0000010,Recurrent Urinary Tract Infections,Abnormality Of The Genitourinary System,All (HP:0000001) -> Phenotypic abnormality (HP:0000118) -> Abnormality of the genitourinary system (HP:0000119) -> Abnormality of the urinary system (HP:0000079) -> Abnormality of the urinary system physiology (HP:0011277) -> Recurrent urinary tract infections (HP:0000010),Repeated infections of the urinary tract.,HP:0000094,SNOMEDCT_US:197927001,UMLS:C0262655
HP:0000010,Urinary Tract Infections,Abnormality Of The Genitourinary System,All (HP:0000001) -> Phenotypic abnormality (HP:0000118) -> Abnormality of the genitourinary system (HP:0000119) -> Abnormality of the urinary system (HP:0000079) -> Abnormality of the urinary system physiology (HP:0011277) -> Recurrent urinary tract infections (HP:0000010),Repeated infections of the urinary tract.,HP:0000094,SNOMEDCT_US:197927001,UMLS:C0262655
HP:0000010,Repeated Urinary Tract Infections,Abnormality Of The Genitourinary System,All (HP:0000001) -> Phenotypic abnormality (HP:0000118) -> Abnormality of the genitourinary system (HP:0000119) -> Abnormality of the urinary system (HP:0000079) -> Abnormality of the urinary system physiology (HP:0011277) -> Recurrent urinary tract infections (HP:0000010),Repeated infections of the urinary tract.,HP:0000094,SNOMEDCT_US:197927001,UMLS:C0262655
HP:0000010,Repeated Bladder Infections,Abnormality Of The Genitourinary System,All (HP:0000001) -> Phenotypic abnormality (HP:0000118) -> Abnormality of the genitourinary system (HP:0000119) -> Abnormality of the urinary system (HP:0000079) -> Abnormality of the urinary system physiology (HP:0011277) -> Recurrent urinary tract infections (HP:0000010),Repeated infections of the urinary tract.,HP:0000094,SNOMEDCT_US:197927001,UMLS:C0262655
HP:0000010,Recurrent Utis,Abnormality Of The Genitourinary System,All (HP:0000001) -> Phenotypic abnormality (HP:0000118) -> Abnormality of the genitourinary system (HP:0000119) -> Abnormality of the urinary system (HP:0000079) -> Abnormality of the urinary system physiology (HP:0011277) -> Recurrent urinary tract infections (HP:0000010),Repeated infections of the urinary tract.,HP:0000094,SNOMEDCT_US:197927001,UMLS:C0262655
HP:0000010,"Urinary Tract Infections, Recurrent",Abnormality Of The Genitourinary System,All (HP:0000001) -> Phenotypic abnormality (HP:0000118) -> Abnormality of the genitourinary system (HP:0000119) -> Abnormality of the urinary system (HP:0000079) -> Abnormality of the urinary system physiology (HP:0011277) -> Recurrent urinary tract infections (HP:0000010),Repeated infections of the urinary tract.,HP:0000094,SNOMEDCT_US:197927001,UMLS:C0262655
HP:0000010,Frequent Urinary Tract Infections,Abnormality Of The Genitourinary System,All (HP:0000001) -> Phenotypic abnormality (HP:0000118) -> Abnormality of the genitourinary system (HP:0000119) -> Abnormality of the urinary system (HP:0000079) -> Abnormality of the urinary system physiology (HP:0011277) -> Recurrent urinary tract infections (HP:0000010),Repeated infections of the urinary tract.,HP:0000094,SNOMEDCT_US:197927001,UMLS:C0262655
HP:0000011,Neurogenic Bladder,Abnormality Of The Genitourinary System,All (HP:0000001) -> Phenotypic abnormality (HP:0000118) -> Abnormality of the genitourinary system (HP:0000119) -> Abnormality of the urinary system (HP:0000079) -> Abnormality of the lower urinary tract (HP:0010936) -> Abnormality of the bladder (HP:0000014) -> Functional abnormality of the bladder (HP:0000009) -> Neurogenic bladder (HP:0000011),"A type of bladder dysfunction caused by neurologic damage. Neurogenic bladder can be flaccid or spastic. Common manifestatios of neurogenic bladder are overflow incontinence, frequency, urgency, urge incontinence, and retention.",,SNOMEDCT_US:397732007;SNOMEDCT_US:398064005,UMLS:C0005697
HP:0000011,Lack Of Bladder Control Due To Nervous System Injury,Abnormality Of The Genitourinary System,All (HP:0000001) -> Phenotypic abnormality (HP:0000118) -> Abnormality of the genitourinary system (HP:0000119) -> Abnormality of the urinary system (HP:0000079) -> Abnormality of the lower urinary tract (HP:0010936) -> Abnormality of the bladder (HP:0000014) -> Functional abnormality of the bladder (HP:0000009) -> Neurogenic bladder (HP:0000011),"A type of bladder dysfunction caused by neurologic damage. Neurogenic bladder can be flaccid or spastic. Common manifestatios of neurogenic bladder are overflow incontinence, frequency, urgency, urge incontinence, and retention.",,SNOMEDCT_US:397732007;SNOMEDCT_US:398064005,UMLS:C0005697
HP:0000012,Urinary Urgency,Abnormality Of The Genitourinary System,All (HP:0000001) -> Phenotypic abnormality (HP:0000118) -> Abnormality of the genitourinary system (HP:0000119) -> Abnormality of the urinary system (HP:0000079) -> Abnormality of the lower urinary tract (HP:0010936) -> Abnormality of the bladder (HP:0000014) -> Functional abnormality of the bladder (HP:0000009) -> Urinary urgency (HP:0000012),"Urge incontinence is the strong, sudden need to urinate.",,SNOMEDCT_US:75088002,UMLS:C0085606;UMLS:C3544092;UMLS:C4020898
HP:0000012,Urgency Frequency Syndrome,Abnormality Of The Genitourinary System,All (HP:0000001) -> Phenotypic abnormality (HP:0000118) -> Abnormality of the genitourinary system (HP:0000119) -> Abnormality of the urinary system (HP:0000079) -> Abnormality of the lower urinary tract (HP:0010936) -> Abnormality of the bladder (HP:0000014) -> Functional abnormality of the bladder (HP:0000009) -> Urinary urgency (HP:0000012),"Urge incontinence is the strong, sudden need to urinate.",,SNOMEDCT_US:75088002,UMLS:C0085606;UMLS:C3544092;UMLS:C4020898
HP:0000012,Urgent Micturition,Abnormality Of The Genitourinary System,All (HP:0000001) -> Phenotypic abnormality (HP:0000118) -> Abnormality of the genitourinary system (HP:0000119) -> Abnormality of the urinary system (HP:0000079) -> Abnormality of the lower urinary tract (HP:0010936) -> Abnormality of the bladder (HP:0000014) -> Functional abnormality of the bladder (HP:0000009) -> Urinary urgency (HP:0000012),"Urge incontinence is the strong, sudden need to urinate.",,SNOMEDCT_US:75088002,UMLS:C0085606;UMLS:C3544092;UMLS:C4020898
HP:0000012,Overactive Bladder,Abnormality Of The Genitourinary System,All (HP:0000001) -> Phenotypic abnormality (HP:0000118) -> Abnormality of the genitourinary system (HP:0000119) -> Abnormality of the urinary system (HP:0000079) -> Abnormality of the lower urinary tract (HP:0010936) -> Abnormality of the bladder (HP:0000014) -> Functional abnormality of the bladder (HP:0000009) -> Urinary urgency (HP:0000012),"Urge incontinence is the strong, sudden need to urinate.",,SNOMEDCT_US:75088002,UMLS:C0085606;UMLS:C3544092;UMLS:C4020898
HP:0000012,Overactive Bladder Syndrome,Abnormality Of The Genitourinary System,All (HP:0000001) -> Phenotypic abnormality (HP:0000118) -> Abnormality of the genitourinary system (HP:0000119) -> Abnormality of the urinary system (HP:0000079) -> Abnormality of the lower urinary tract (HP:0010936) -> Abnormality of the bladder (HP:0000014) -> Functional abnormality of the bladder (HP:0000009) -> Urinary urgency (HP:0000012),"Urge incontinence is the strong, sudden need to urinate.",,SNOMEDCT_US:75088002,UMLS:C0085606;UMLS:C3544092;UMLS:C4020898
HP:0000012,Urinary Urgency,Abnormality Of The Genitourinary System,All (HP:0000001) -> Phenotypic abnormality (HP:0000118) -> Abnormality of the genitourinary system (HP:0000119) -> Abnormality of the urinary system (HP:0000079) -> Abnormality of the lower urinary tract (HP:0010936) -> Abnormality of the bladder (HP:0000014) -> Functional abnormality of the bladder (HP:0000009) -> Urinary urgency (HP:0000012),"Urge incontinence is the strong, sudden need to urinate.",,SNOMEDCT_US:75088002,UMLS:C0085606;UMLS:C3544092;UMLS:C4020898
HP:0000013,Hypoplasia Of The Uterus,Abnormality Of The Genitourinary System,All (HP:0000001) -> Phenotypic abnormality (HP:0000118) -> Abnormality of the genitourinary system (HP:0000119) -> Abnormality of the genital system (HP:0000078) -> Abnormal reproductive system morphology (HP:0012243) -> Abnormal internal genitalia (HP:0000812) -> Abnormal morphology of female internal genitalia (HP:0000008) -> Abnormality of the uterus (HP:0000130) -> Aplasia/hypoplasia of the uterus (HP:0008684) -> Hypoplasia of the uterus (HP:0000013),Underdevelopment of the uterus.,HP:0001154;HP:0008637,SNOMEDCT_US:35850006,UMLS:C0266399
HP:0000013,Hypoplastic Uterus,Abnormality Of The Genitourinary System,All (HP:0000001) -> Phenotypic abnormality (HP:0000118) -> Abnormality of the genitourinary system (HP:0000119) -> Abnormality of the genital system (HP:0000078) -> Abnormal reproductive system morphology (HP:0012243) -> Abnormal internal genitalia (HP:0000812) -> Abnormal morphology of female internal genitalia (HP:0000008) -> Abnormality of the uterus (HP:0000130) -> Aplasia/hypoplasia of the uterus (HP:0008684) -> Hypoplasia of the uterus (HP:0000013),Underdevelopment of the uterus.,HP:0001154;HP:0008637,SNOMEDCT_US:35850006,UMLS:C0266399
HP:0000013,Small Uterus,Abnormality Of The Genitourinary System,All (HP:0000001) -> Phenotypic abnormality (HP:0000118) -> Abnormality of the genitourinary system (HP:0000119) -> Abnormality of the genital system (HP:0000078) -> Abnormal reproductive system morphology (HP:0012243) -> Abnormal internal genitalia (HP:0000812) -> Abnormal morphology of female internal genitalia (HP:0000008) -> Abnormality of the uterus (HP:0000130) -> Aplasia/hypoplasia of the uterus (HP:0008684) -> Hypoplasia of the uterus (HP:0000013),Underdevelopment of the uterus.,HP:0001154;HP:0008637,SNOMEDCT_US:35850006,UMLS:C0266399
HP:0000013,Underdeveloped Uterus,Abnormality Of The Genitourinary System,All (HP:0000001) -> Phenotypic abnormality (HP:0000118) -> Abnormality of the genitourinary system (HP:0000119) -> Abnormality of the genital system (HP:0000078) -> Abnormal reproductive system morphology (HP:0012243) -> Abnormal internal genitalia (HP:0000812) -> Abnormal morphology of female internal genitalia (HP:0000008) -> Abnormality of the uterus (HP:0000130) -> Aplasia/hypoplasia of the uterus (HP:0008684) -> Hypoplasia of the uterus (HP:0000013),Underdevelopment of the uterus.,HP:0001154;HP:0008637,SNOMEDCT_US:35850006,UMLS:C0266399
HP:0000013,Rudimentary Uterus,Abnormality Of The Genitourinary System,All (HP:0000001) -> Phenotypic abnormality (HP:0000118) -> Abnormality of the genitourinary system (HP:0000119) -> Abnormality of the genital system (HP:0000078) -> Abnormal reproductive system morphology (HP:0012243) -> Abnormal internal genitalia (HP:0000812) -> Abnormal morphology of female internal genitalia (HP:0000008) -> Abnormality of the uterus (HP:0000130) -> Aplasia/hypoplasia of the uterus (HP:0008684) -> Hypoplasia of the uterus (HP:0000013),Underdevelopment of the uterus.,HP:0001154;HP:0008637,SNOMEDCT_US:35850006,UMLS:C0266399
HP:0000013,Hypoplasia Of The Uterus,Abnormality Of The Genitourinary System,All (HP:0000001) -> Phenotypic abnormality (HP:0000118) -> Abnormality of the genitourinary system (HP:0000119) -> Abnormality of the genital system (HP:0000078) -> Abnormal reproductive system morphology (HP:0012243) -> Abnormality of the female genitalia (HP:0010460) -> Abnormal morphology of female internal genitalia (HP:0000008) -> Abnormality of the uterus (HP:0000130) -> Aplasia/hypoplasia of the uterus (HP:0008684) -> Hypoplasia of the uterus (HP:0000013),Underdevelopment of the uterus.,HP:0001154;HP:0008637,SNOMEDCT_US:35850006,UMLS:C0266399
HP:0000013,Hypoplastic Uterus,Abnormality Of The Genitourinary System,All (HP:0000001) -> Phenotypic abnormality (HP:0000118) -> Abnormality of the genitourinary system (HP:0000119) -> Abnormality of the genital system (HP:0000078) -> Abnormal reproductive system morphology (HP:0012243) -> Abnormality of the female genitalia (HP:0010460) -> Abnormal morphology of female internal genitalia (HP:0000008) -> Abnormality of the uterus (HP:0000130) -> Aplasia/hypoplasia of the uterus (HP:0008684) -> Hypoplasia of the uterus (HP:0000013),Underdevelopment of the uterus.,HP:0001154;HP:0008637,SNOMEDCT_US:35850006,UMLS:C0266399
HP:0000013,Small Uterus,Abnormality Of The Genitourinary System,All (HP:0000001) -> Phenotypic abnormality (HP:0000118) -> Abnormality of the genitourinary system (HP:0000119) -> Abnormality of the genital system (HP:0000078) -> Abnormal reproductive system morphology (HP:0012243) -> Abnormality of the female genitalia (HP:0010460) -> Abnormal morphology of female internal genitalia (HP:0000008) -> Abnormality of the uterus (HP:0000130) -> Aplasia/hypoplasia of the uterus (HP:0008684) -> Hypoplasia of the uterus (HP:0000013),Underdevelopment of the uterus.,HP:0001154;HP:0008637,SNOMEDCT_US:35850006,UMLS:C0266399
